"task_key","experiment","condition","state","replicate","data_seed","method","method_label","bandwidth_multiplier","ARI","affinity_sigma","objective","iterations","ifault","distance_seconds","clustering_seconds","error"
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Gated_active_average_SC","Gated active average",1,0.614598450024314,5.96311192481851,58.2776058002963,2,0,0.266999999999996,0.222999999999956,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Package_no_interaction_SC","Package no interaction",1,0.257661270622118,4.987500570747,61.9454494081053,2,0,0.00900000000001455,0.230000000000018,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Gower_SC","Gower",1,0.256899004134674,0.308974206258901,46.3218505036202,2,0,0.0769999999999982,0.209000000000003,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Modified_Gower_SC","Modified Gower",1,0.674217897614308,0.601206399198994,27.5492193742362,2,0,0.887,0.425999999999988,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Euclidean_onehot_SC","Euclidean one-hot",1,0.278194161137693,5.3690364373115,57.833876894731,2,0,0.437000000000012,0.171999999999969,NA
"Simulation_2__n500__interaction__rep005","Simulation_2","n500","interaction",5,26300500,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.390313146765889,0.0396021714355942,0.391153237608026,2,0,0.0459999999999923,0.173000000000002,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gated_active_average_SC","Gated active average",1,0.391754353941685,17.8375943011571,62.1955029551553,2,0,0.00300000000004275,0.322000000000003,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Package_no_interaction_SC","Package no interaction",1,0.357932135405565,15.9022524145545,64.6767986990137,2,0,0.00399999999996226,0.0729999999999791,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Gower_SC","Gower",1,0.438440821423279,0.497012050647234,69.2900936260895,3,0,0.145000000000039,0.0869999999999891,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Modified_Gower_SC","Modified Gower",1,0.426871347922434,0.448165341906708,70.0441580260537,3,0,1.61399999999998,0.0910000000000082,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Euclidean_onehot_SC","Euclidean one-hot",1,0.491395705973133,13.0529243151951,63.061083819011,2,0,1.303,0.0779999999999745,NA
"Simulation_3__npg120_profile0-35__aligned__rep001","Simulation_3","npg120_profile0.35","aligned",1,26400100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.41892902653349,0.533051133948521,65.6575951473975,3,0,0.131000000000029,0.0819999999999936,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Gated_active_average_SC","Gated active average",1,0.304480830292634,15.8779101257943,67.3053003701373,2,0,0.00299999999992906,0.0670000000000073,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Package_no_interaction_SC","Package no interaction",1,0.304480830292634,15.8779101257943,67.3053003701373,2,0,0.0040000000000191,0.250999999999976,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Gower_SC","Gower",1,-0.0002753561935288,0.496282583297788,70.9044207896885,2,0,0.144000000000005,0.0849999999999227,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Modified_Gower_SC","Modified Gower",1,5.35777982145349e-05,0.445260929115477,71.3193127701004,3,0,1.47500000000002,0.08400000000006,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Euclidean_onehot_SC","Euclidean one-hot",1,-0.000724597480658714,13.0399369032221,66.1618164782575,3,0,1.11699999999996,0.0650000000000546,NA
"Simulation_3__npg120_profile0-35__decoupled__rep001","Simulation_3","npg120_profile0.35","decoupled",1,26400100,"Ahmad_Dey_SC","Ahmad--Dey distance",1,-0.00210500608791248,0.485745084349324,66.7341959181199,3,0,0.157000000000039,0.0939999999999372,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Gated_active_average_SC","Gated active average",1,0.380611420713923,17.5372126158857,68.1697021162202,3,0,0.0120000000000573,0.0819999999999936,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Package_no_interaction_SC","Package no interaction",1,0.365427980880346,15.7106549325304,65.106037117102,3,0,0.0099999999999909,0.425999999999931,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Gower_SC","Gower",1,0.422059831246896,0.496941152460302,64.1295921183204,3,0,0.211000000000013,0.0790000000000646,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Modified_Gower_SC","Modified Gower",1,0.385397225815788,0.449394878539894,66.4429707107695,3,0,2.42399999999998,0.08299999999997,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Euclidean_onehot_SC","Euclidean one-hot",1,0.471358946424492,13.0431685934555,58.4186701382891,3,0,1.26499999999999,0.0720000000000027,NA
"Simulation_3__npg120_profile0-35__aligned__rep002","Simulation_3","npg120_profile0.35","aligned",2,26400200,"Ahmad_Dey_SC","Ahmad--Dey distance",1,0.379482204291023,0.469305383482967,62.4525102521106,2,0,0.19500000000005,0.0779999999999745,NA
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Gated_active_average_SC","Gated active average",1,0.349025034375887,15.6893277304161,66.1401032183604,3,0,0.00599999999997181,0.33299999999997,NA
"Simulation_3__npg120_profile0-35__decoupled__rep002","Simulation_3","npg120_profile0.35","decoupled",2,26400200,"Package_no_interaction_SC","Package no interaction",1,0.349025034375887,15.6893277304161,66.1401032183604,3,0,0.0040000000000191,0.0789999999999509,NA
