"task_key","experiment","condition","state","replicate","variable","detected_199","adjusted_p_value_199","statistic_199","detected_499","adjusted_p_value_499","statistic_499","decision_changed"
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C11",FALSE,0.245,0.20169539021998,FALSE,0.264,0.20169539021998,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C12",TRUE,0.005,0.370870870870871,TRUE,0.002,0.370870870870871,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C13",FALSE,0.865,0.130190796857464,FALSE,0.874,0.130190796857464,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C14",FALSE,0.06,0.242921013412817,FALSE,0.066,0.242921013412817,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C15",FALSE,0.13,0.218260869565218,FALSE,0.146,0.218260869565218,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C16",FALSE,0.86,0.1306094484756,FALSE,0.872,0.1306094484756,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C17",FALSE,0.28,0.196357723577236,FALSE,0.302,0.196357723577236,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C18",TRUE,0.005,0.350580895008606,TRUE,0.002,0.350580895008606,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C19",FALSE,0.54,0.166436896854242,FALSE,0.564,0.166436896854242,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C2",TRUE,0.01,0.306878306878307,TRUE,0.006,0.306878306878307,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C20",FALSE,0.185,0.213114754098361,FALSE,0.19,0.213114754098361,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C21",TRUE,0.01,0.30547480620155,TRUE,0.006,0.30547480620155,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C22",FALSE,0.805,0.138191905182196,FALSE,0.822,0.138191905182196,FALSE
"Simulation_3__npg120_profile0-35__aligned__rep005","Simulation_3","npg120_profile0.35","aligned",5,"C23",TRUE,0.01,0.285990338164251,FALSE,0.012,0.285990338164251,TRUE
