"scenario","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical","param_q_categorical_noise","param_q_categorical_signal","setting_id","prop_nn","rho","numeric_block_weight","method","method_label","affinity","attempted_replicates","successful_results","mean_ARI","median_ARI","sd_ARI","mcse_mean_ARI"
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,0.793746783010882,0.793746783010882,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,0.967029789105371,0.967029789105371,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.691838092829201,0.691838092829201,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,0.967029789105371,0.967029789105371,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",1,1,0.935384893704639,0.935384893704639,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",1,1,0.545986025789618,0.545986025789618,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,1,1,1,NA,NA
"submitted_sim1_balanced",NA,NA,NA,NA,NA,NA,"3",NA,"90",NA,NA,"0","15","15",NA,NA,1,0.1,0.0666666666666667,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,1,1,1,NA,NA
