"task_id","scenario","condition_id","replicate","data_seed","setting_id","n","k","prop_nn","rho","numeric_block_weight","method","method_label","affinity","ARI","objective","iterations","ifault","affinity_scale","affinity_neighbor_rank","distance_seconds","clustering_seconds","error","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal"
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",-0.0167029774872912,3.34741156438153,1,0,0.352567647964743,7,0.0830000000000002,0.00399999999999956,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",0.0217785843920144,3.30676033994916,1,0,4.1859465384766,NA,0.154,0.00300000000000011,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",0.00144914409926637,3.11867849025763,1,0,3.1286161805326,7,0.154,0.00500000000000078,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",0.355087591903422,2.46923213719606,1,0,0.611113625244093,NA,0.0860000000000003,0.00500000000000078,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",0.355087591903422,2.78031466393763,1,0,0.441580350179175,7,0.0860000000000003,0.004999999999999,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",0.428934010152284,3.05372267001254,1,0,0.960393169182549,NA,0.0800000000000001,0.00500000000000078,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",0.428934010152284,3.67600848141929,1,0,0.587313279369474,7,0.0800000000000001,0.00799999999999912,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
301,"null_interaction",1,1,26591901,1,36,2,0.1,0.5,1,"KPrototypes","k-prototypes","not_applicable",0.126984126984127,43.6497894284078,5,NA,NA,NA,NA,2.653,NA,NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,1,36,6,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.6124587640641,2,0,2.46052994038547,NA,2.393,0.0709999999999997,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,1,36,6,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1.332623213191,2,0,1.39331321985307,7,2.393,0.0149999999999988,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,1,36,6,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",0.398190045248869,8.95937202056641,3,0,1.99342045615684,NA,2.393,0.00600000000000023,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,1,36,6,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,3.23519518764118,3,0,1.12923046066932,7,2.393,0.00600000000000023,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
851,"pi_nn_sensitivity",1,1,26991901,2,36,6,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,5.6124587640641,2,0,2.46052994038547,NA,1.951,0.00699999999999967,NA,NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA
