"configuration","interaction_state","replicate","data_seed","n","p_numeric","q_categorical","method","affinity","bandwidth_base_rule","bandwidth_multiplier","bandwidth_role","affinity_base_scale","affinity_scale","ARI","ifault","distance_seconds","clustering_seconds"
"joint_high","signal",1,26092100,360,10,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",1,"primary",9.02375969665064,9.02375969665064,0.815862708283804,0,38.791,0.0899999999999963
"joint_high","signal",1,26092100,360,10,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",1,"primary",5.14527375361594,5.14527375361594,0.689123954419064,0,4.31,0.0739999999999981
"joint_high","signal",1,26092100,360,10,5,"gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.427404683555112,0.427404683555112,0.626084201125925,0,0.0719999999999956,0.080999999999996
"joint_high","signal",1,26092100,360,10,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",1,"primary",0.628274584880407,0.628274584880407,0.515090733883367,0,0.515000000000001,0.0760000000000005
"joint_high","signal",1,26092100,360,10,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",1,"primary",7.00194281248845,7.00194281248845,0.50368104785829,0,0.343000000000004,0.220999999999997
"joint_high","signal",1,26092100,360,10,5,"ab_gated","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",9.02375969665064,18.0475193933013,0.893528865993354,0,38.791,0.0850000000000009
"joint_high","signal",1,26092100,360,10,5,"ab_no_interaction","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",5.14527375361594,10.2905475072319,0.766060711656197,0,4.31,0.0840000000000032
"joint_high","signal",1,26092100,360,10,5,"gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.427404683555112,0.854809367110223,0.628189401767571,0,0.0719999999999956,0.0750000000000028
"joint_high","signal",1,26092100,360,10,5,"modified_gower","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",0.628274584880407,1.25654916976081,0.492311071320258,0,0.515000000000001,0.0730000000000004
"joint_high","signal",1,26092100,360,10,5,"standardized_euclidean_onehot","gaussian","median_positive_pairwise_dissimilarity",2,"sensitivity",7.00194281248845,14.0038856249769,0.548241422881199,0,0.343000000000004,0.0740000000000052
